Time: 10/02/2014 00:07:06
Tick:46,  Total waiting time : 132,   Total # of processes: 19,  ASPAverage Waiting Time: 1.0,                 Finished P.: 11,   total respond time: 217,  Average response time: 19.727272,   Max length readylist: 8
Tick:47,  Total waiting time : 99,    Total # of processes: 19,  ASPAverage Waiting Time: 1.0,                 Finished P.: 11,   total respond time: 217,  Average response time: 19.727272,   Max length readylist: 8
Tick:48,  Total waiting time : 108,   Total # of processes: 21,  ASPAverage Waiting Time: 1.0,                 Finished P.: 11,   total respond time: 217,  Average response time: 19.727272,   Max length readylist: 9
Tick:49,  Total waiting time : 117,   Total # of processes: 21,  ASPAverage Waiting Time: 1.0,                 Finished P.: 11,   total respond time: 217,  Average response time: 19.727272,   Max length readylist: 9
Tick:50,  Total waiting time : 125,   Total # of processes: 21,  ASPAverage Waiting Time: 4.25,                Finished P.: 12,   total respond time: 273,  Average response time: 22.75,       Max length readylist: 9
Tick:51,  Total waiting time : 125,   Total # of processes: 21,  ASPAverage Waiting Time: 4.25,                Finished P.: 12,   total respond time: 273,  Average response time: 22.75,       Max length readylist: 9
Tick:52,  Total waiting time : 133,   Total # of processes: 21,  ASPAverage Waiting Time: 4.25,                Finished P.: 12,   total respond time: 273,  Average response time: 22.75,       Max length readylist: 9
Tick:53,  Total waiting time : 141,   Total # of processes: 21,  ASPAverage Waiting Time: 4.25,                Finished P.: 12,   total respond time: 273,  Average response time: 22.75,       Max length readylist: 9
Tick:54,  Total waiting time : 149,   Total # of processes: 21,  ASPAverage Waiting Time: 4.25,                Finished P.: 12,   total respond time: 273,  Average response time: 22.75,       Max length readylist: 9
Tick:55,  Total waiting time : 156,   Total # of processes: 21,  ASPAverage Waiting Time: 4.538461538461538,   Finished P.: 13,   total respond time: 296,  Average response time: 22.76923,    Max length readylist: 9
Tick:56,  Total waiting time : 153,   Total # of processes: 21,  ASPAverage Waiting Time: 4.538461538461538,   Finished P.: 13,   total respond time: 296,  Average response time: 22.76923,    Max length readylist: 9
Tick:57,  Total waiting time : 160,   Total # of processes: 21,  ASPAverage Waiting Time: 4.538461538461538,   Finished P.: 13,   total respond time: 296,  Average response time: 22.76923,    Max length readylist: 9
Tick:58,  Total waiting time : 167,   Total # of processes: 21,  ASPAverage Waiting Time: 4.538461538461538,   Finished P.: 13,   total respond time: 296,  Average response time: 22.76923,    Max length readylist: 9
Tick:59,  Total waiting time : 174,   Total # of processes: 21,  ASPAverage Waiting Time: 4.538461538461538,   Finished P.: 13,   total respond time: 296,  Average response time: 22.76923,    Max length readylist: 9
Tick:60,  Total waiting time : 181,   Total # of processes: 21,  ASPAverage Waiting Time: 4.538461538461538,   Finished P.: 13,   total respond time: 296,  Average response time: 22.76923,    Max length readylist: 9
Tick:61,  Total waiting time : 188,   Total # of processes: 21,  ASPAverage Waiting Time: 4.538461538461538,   Finished P.: 13,   total respond time: 296,  Average response time: 22.76923,    Max length readylist: 9
Tick:62,  Total waiting time : 195,   Total # of processes: 21,  ASPAverage Waiting Time: 4.538461538461538,   Finished P.: 13,   total respond time: 296,  Average response time: 22.76923,    Max length readylist: 9
Tick:63,  Total waiting time : 202,   Total # of processes: 21,  ASPAverage Waiting Time: 4.538461538461538,   Finished P.: 13,   total respond time: 296,  Average response time: 22.76923,    Max length readylist: 9
Tick:64,  Total waiting time : 208,   Total # of processes: 21,  ASPAverage Waiting Time: 4.928571428571429,   Finished P.: 14,   total respond time: 331,  Average response time: 23.642857,   Max length readylist: 9
Tick:65,  Total waiting time : 198,   Total # of processes: 21,  ASPAverage Waiting Time: 4.928571428571429,   Finished P.: 14,   total respond time: 331,  Average response time: 23.642857,   Max length readylist: 9
Tick:66,  Total waiting time : 204,   Total # of processes: 21,  ASPAverage Waiting Time: 4.928571428571429,   Finished P.: 14,   total respond time: 331,  Average response time: 23.642857,   Max length readylist: 9
Tick:67,  Total waiting time : 210,   Total # of processes: 21,  ASPAverage Waiting Time: 4.928571428571429,   Finished P.: 14,   total respond time: 331,  Average response time: 23.642857,   Max length readylist: 9
Tick:68,  Total waiting time : 216,   Total # of processes: 21,  ASPAverage Waiting Time: 4.928571428571429,   Finished P.: 14,   total respond time: 331,  Average response time: 23.642857,   Max length readylist: 9
Tick:69,  Total waiting time : 222,   Total # of processes: 21,  ASPAverage Waiting Time: 4.928571428571429,   Finished P.: 14,   total respond time: 331,  Average response time: 23.642857,   Max length readylist: 9
Tick:70,  Total waiting time : 228,   Total # of processes: 21,  ASPAverage Waiting Time: 4.928571428571429,   Finished P.: 14,   total respond time: 331,  Average response time: 23.642857,   Max length readylist: 9
Tick:71,  Total waiting time : 234,   Total # of processes: 21,  ASPAverage Waiting Time: 4.928571428571429,   Finished P.: 14,   total respond time: 331,  Average response time: 23.642857,   Max length readylist: 9
Tick:72,  Total waiting time : 240,   Total # of processes: 21,  ASPAverage Waiting Time: 4.928571428571429,   Finished P.: 14,   total respond time: 331,  Average response time: 23.642857,   Max length readylist: 9
Tick:73,  Total waiting time : 245,   Total # of processes: 21,  ASPAverage Waiting Time: 5.666666666666667,   Finished P.: 15,   total respond time: 394,  Average response time: 26.266666,   Max length readylist: 9
Tick:74,  Total waiting time : 212,   Total # of processes: 21,  ASPAverage Waiting Time: 5.666666666666667,   Finished P.: 15,   total respond time: 394,  Average response time: 26.266666,   Max length readylist: 9
Tick:75,  Total waiting time : 217,   Total # of processes: 21,  ASPAverage Waiting Time: 5.666666666666667,   Finished P.: 15,   total respond time: 394,  Average response time: 26.266666,   Max length readylist: 9
